53.0,1.0,53.0,1.0,48.0,1.0,45.0,1.0,41.0,1.0
55.0,0.5,60.0,1.0,48.0,1.0,43.0,1.0,40.0,1.0
48.0,0.5,57.0,1.0,48.0,1.0,45.0,1.0,41.0,1.0
53.0,0.5,53.0,1.0,50.0,1.0,45.0,1.0,38.0,1.0
41.0,0.5,60.0,1.0,53.0,1.0,45.0,1.0,33.0,1.0
45.0,0.5,62.0,1.0,59.0,1.0,41.0,1.0,35.0,0.5
41.0,0.5,62.0,1.0,59.0,1.0,53.0,1.0,36.0,0.5
45.0,0.5,60.0,1.0,57.0,1.0,53.0,1.0,38.0,0.5
48.0,0.5,60.0,1.0,57.0,1.0,53.0,1.0,40.0,0.5
53.0,0.25,62.0,1.0,59.0,1.0,53.0,1.0,41.0,1.0
59.0,0.25,64.0,1.0,59.0,1.0,55.0,1.0,41.0,1.0
57.0,0.25,65.0,1.0,60.0,0.5,53.0,0.5,47.0,1.0
55.0,0.25,64.0,1.0,62.0,0.5,50.0,0.5,45.0,0.5
53.0,0.5,62.0,1.0,60.0,0.5,52.0,1.0,43.0,0.5
55.0,0.5,62.0,1.0,55.0,0.5,53.0,0.5,45.0,0.5
57.0,1.0,60.0,1.0,57.0,1.0,52.0,0.5,47.0,0.5
57.0,1.0,57.0,1.0,55.0,1.0,50.0,1.0,48.0,1.0
53.0,0.5,62.0,1.0,55.0,1.0,52.0,1.0,41.0,1.0
55.0,0.25,60.0,1.0,53.0,1.0,48.0,0.5,43.0,1.0
57.0,0.25,59.0,1.0,53.0,1.0,45.0,0.5,36.0,1.0
59.0,0.5,57.0,1.0,52.0,1.0,41.0,0.5,41.0,1.0
60.0,0.25,55.0,2.0,53.0,0.5,43.0,0.5,35.0,1.0
59.0,0.25,53.0,1.0,55.0,0.5,45.0,1.0,36.0,1.0
57.0,0.5,53.0,1.0,48.0,0.5,45.0,0.5,38.0,0.5
55.0,0.5,60.0,1.0,53.0,0.5,43.0,0.5,40.0,0.5
55.0,0.5,57.0,1.0,53.0,1.0,45.0,0.5,41.0,1.0
60.0,0.5,53.0,1.0,52.0,1.0,41.0,0.5,36.0,2.0
60.0,0.5,60.0,1.0,48.0,1.0,43.0,0.5,29.0,1.0
59.0,0.25,62.0,1.0,48.0,1.0,45.0,0.5,41.0,1.0
57.0,0.25,62.0,1.0,48.0,1.0,47.0,1.0,40.0,1.0
59.0,1.0,60.0,1.0,48.0,1.0,45.0,1.0,41.0,1.0
60.0,1.0,60.0,1.0,50.0,1.0,45.0,1.0,38.0,1.0
53.0,1.0,62.0,1.0,53.0,1.0,43.0,1.0,33.0,1.0
53.0,0.5,64.0,1.0,59.0,1.0,45.0,1.0,35.0,0.5
59.0,0.5,65.0,1.0,59.0,1.0,45.0,1.0,36.0,0.5
57.0,0.5,64.0,1.0,57.0,1.0,45.0,1.0,38.0,0.5
55.0,0.5,62.0,1.0,57.0,1.0,41.0,1.0,40.0,0.5
53.0,0.5,62.0,1.0,59.0,1.0,53.0,1.0,41.0,1.0
